timekey,Domestic office deposits,Interest-bearing deposits,Noninterest-bearing deposits,Time deposits
125,8225834.181,6313407.216,1912427.003,1884335.543
126,8505467.138,6412104.161,2093362.98,1848223.126
127,8758011.35,6492756.862,2265254.517,1821691.114
128,8825858.396,6593527.401,2232331.044,1791464.257
129,8913891.953,6616101.444,2297790.519,1805206.997
130,9060349.599,6668169.582,2392180.023,1760376.181
131,9447122.008,6905852.684,2541269.333,1727809.563
132,9426779.501,6983744.836,2443034.689,1683681.384
133,9395657.141,6940201.463,2455455.703,1671961.537
134,9600949.454,7043084.858,2557864.634,1649193.465
135,9791108.371,7179559.761,2611548.639,1635269.875
136,9922165.872,7264753.987,2657411.91,1614473.688
137,10058796.029,7288571,2770225.086,1632902.238
138,10172825.635,7366806.249,2806019.388,1602188.955
139,10370557.399,7518236.823,2852320.579,1707841.229
140,10580731.931,7642537.089,2938194.85,1680858.335
141,10589698.272,7606259.574,2983438.722,1673622.251
142,10651897.881,7692205.53,2959692.381,1652880.899
143,10907951.313,7907962.103,2999989.238,1664811.957
144,11108234.699,8124816.704,2983418.03,1696058.921
145,11204011.984,8178897.246,3025114.766,1710054.031
146,11462595.348,8318504.215,3144091.125,1651419.087
147,11648919.378,8497207.809,3151711.589,1638218.004
148,11812761.087,8615056.118,3197704.964,1643908.69
149,11780617.653,8535918.207,3244699.441,1646197.581
150,11919814.822,8677498.592,3242316.243,1679115.022
151,12081456.682,8831774.932,3249681.793,1700596.954
152,12256881.224,9007947.828,3248933.409,1727826.918
153,12235402.659,9021543.647,3213859.026,1805443.275
154,12321792.61,9180590.44,3141202.229,1891926.854
155,12612885.629,9478042.76,3134842.87,1970842.785
156,12683881.982,9649400.442,3034481.563,2084255.379
157,12747037.289,9675403.439,3071633.844,2087614.073
158,12980483.46,9842314.296,3138169.178,2086313.85
159,13219998.457,10059132.065,3160866.407,2041937.728
160,14307041.85,10698639.416,3608402.422,2034752.432
161,15519659.762,11274141.512,4245518.285,1851239.978
162,15671584.64,11287597.257,4383987.401,1652602.585
163,16289546.87,11683082.44,4606464.452,1522472.665
164,16935683.199,11956089.098,4979594.138,1421805.372
165,17163910.17,12001077.017,5162833.193,1344158.52
166,17634011.465,12268795.769,5365215.693,1302522.699
167,18189618.941,12673383.82,5516235.147,1271437.647
168,18381103.563,12863167.205,5517936.398,1246782.301
169,18077257.167,12672593.395,5404663.763,1322152.404
170,17891615.263,12697528.14,5194087.132,1486595.6
171,17725935.746,12898137.359,4827798.406,1708631.022
172,17304595.618,12790924.357,4513671.291,2133080.782
173,17198716.763,12963774.493,4234942.295,2439754.283
174,17159063.976,13084705.549,4074358.442,2685279.217
175,17346002.166,13363597.223,3982404.939,2869517.136
176,17536765.48,13583150.63,3953614.858,2938450.469
177,17338522.05,13465567.242,3872954.808,2980069.606
178,17533137.852,13667677.777,3865460.074,3008956.065
179,17747567.654,13886324.649,3861243.002,2886878.34
180,17928424.07,14073946.744,3854477.335,2869409.938
181,18029936.734,14148305.482,3881631.256,2880843.613
