timekey,M1,M2,GDP,REAL_GDP,PERSONAL_INCOME,DISPOSABLE_INCOME,PCE,SAVING_RATE,UNEMPLOYMENT,NONFARM_PAYROLL,LABOR_FORCE,FED_FUNDS,TREASURY_3M,TREASURY_2Y,TREASURY_5Y,TREASURY_10Y,TREASURY_30Y,BBB_CORPORATE,CPI,CORE_CPI,PCE_INFLATION,INDUSTRIAL_PRODUCTION,RETAIL_SALES,HOUSE_PRICE_INDEX,M1_AVG,M2_AVG,GDP_AVG,REAL_GDP_AVG,PERSONAL_INCOME_AVG,DISPOSABLE_INCOME_AVG,PCE_AVG,SAVING_RATE_AVG,UNEMPLOYMENT_AVG,NONFARM_PAYROLL_AVG,LABOR_FORCE_AVG,FED_FUNDS_AVG,TREASURY_3M_AVG,TREASURY_2Y_AVG,TREASURY_5Y_AVG,TREASURY_10Y_AVG,TREASURY_30Y_AVG,BBB_CORPORATE_AVG,CPI_AVG,CORE_CPI_AVG,PCE_INFLATION_AVG,INDUSTRIAL_PRODUCTION_AVG,RETAIL_SALES_AVG,HOUSE_PRICE_INDEX_AVG
80,1107.5,4711.7,10002.179,13878.147,8468.3,9864.0,6686.5,3.8,4.0,131604.0,142434.0,5.85,5.88,6.5,6.32,6.03,5.84,8.33,171.0,180.0,73.505,92.083,244533.0,102.12700000000001,1112.7333333333333,4686.733333333334,10002.179,13878.147,8408.366666666667,9833.933333333332,6618.233333333334,4.1000000000000005,4.033333333333333,131245.33333333334,142385.66666666666,5.676666666666667,5.704603174603174,6.526349206349207,6.583174603174603,6.468412698412698,6.291746031746031,8.330793650793652,170.1,179.5666666666667,73.219,91.7389,241205.0,101.33933333333334
81,1102.6,4773.6,10247.72,14130.908,8597.8,9982.3,6746.9,4.3,4.0,132062.0,142591.0,6.53,5.88,6.38,6.18,6.03,5.9,8.43,172.2,181.1,73.754,93.0018,243226.0,104.42399999999999,1107.7,4765.7,10247.72,14130.908,8549.699999999999,9950.166666666666,6711.900000000001,4.3,3.9333333333333336,132016.66666666666,142576.66666666666,6.273333333333333,5.8960317460317455,6.572698412698412,6.424444444444444,6.184920634920634,5.97984126984127,8.604126984126985,171.4333333333333,180.70000000000002,73.56766666666667,92.86746666666666,241441.33333333334,103.67433333333334
82,1099.7,4855.3,10318.165,14145.312,8757.7,10110.3,6888.6,4.1,3.9,132338.0,142518.0,6.52,6.23,5.98,5.85,5.8,5.88,8.34,173.6,182.3,74.252,92.9827,245520.0,106.539,1101.1333333333334,4822.033333333334,10318.165,14145.312,8711.733333333334,10081.5,6819.966666666667,4.533333333333333,4.0,132266.66666666666,142436.66666666666,6.52,6.202063492063492,6.216984126984127,6.058253968253968,5.88984126984127,5.793968253968254,8.313015873015873,173.0,181.9,74.04166666666667,92.80366666666667,242939.0,105.78766666666667
83,1088.6,4927.7,10435.744,14229.765,8844.0,10164.3,6952.2,4.1,3.9,132716.0,143248.0,6.4,5.89,5.11,4.99,5.12,5.46,8.0,174.6,183.3,74.571,92.3457,243844.0,109.141,1093.2333333333333,4893.966666666666,10435.744,14229.765,8815.333333333334,10149.0,6918.599999999999,4.233333333333333,3.9,132541.33333333334,142944.0,6.473333333333334,6.200161290322581,5.719032258064516,5.555645161290323,5.570645161290322,5.6930645161290325,8.21758064516129,174.23333333333335,183.0,74.46033333333332,92.5487,244363.0,108.27566666666667
84,1108.9,5074.9,10470.231,14183.12,9009.4,10254.4,6996.7,4.9,4.3,132751.0,143924.0,5.31,4.3,4.18,4.62,4.93,5.46,7.97,176.1,184.7,75.055,91.0585,244514.0,111.11,1102.2666666666667,5023.466666666666,10470.231,14183.12,8975.366666666667,10229.833333333334,6995.3,4.666666666666667,4.233333333333333,132747.33333333334,143808.33333333334,5.593333333333334,4.933387096774194,4.580161290322581,4.7904838709677415,5.0441935483870965,5.4430645161290325,7.881774193548387,175.9,184.33333333333334,75.01166666666667,91.41146666666667,246380.66666666666,110.48666666666668
85,1126.2,5180.3,10599.0,14271.694,9017.1,10218.1,7069.7,4.2,4.5,132299.0,143357.0,3.97,3.65,4.25,4.97,5.42,5.75,8.07,177.7,186.0,75.518,89.7811,248836.0,112.796,1120.4666666666667,5152.266666666666,10599.0,14271.694,9012.366666666667,10221.966666666667,7042.233333333334,4.433333333333334,4.3999999999999995,132388.33333333334,143414.66666666666,4.326666666666667,3.7406349206349208,4.191746031746032,4.835396825396825,5.276190476190476,5.70063492063492,8.0384126984127,177.13333333333333,185.46666666666667,75.36333333333333,90.26006666666666,249399.66666666666,112.20400000000001
86,1205.7,5355.3,10598.02,14214.516,8975.3,10452.8,7007.0,6.9,5.0,131763.0,143989.0,3.07,2.4,2.86,3.93,4.6,5.42,8.02,178.1,187.1,75.227,88.6749,243130.0,114.81299999999999,1164.9333333333334,5269.8,10598.02,14214.516,8997.1,10455.533333333333,7070.333333333333,6.266666666666667,4.833333333333333,131985.0,143642.33333333334,3.4966666666666666,3.283606557377049,3.6762295081967213,4.510819672131148,4.995737704918033,5.5280327868852455,7.940327868852459,177.63333333333333,186.73333333333335,75.40133333333334,89.02236666666666,246685.33333333334,114.15766666666666
87,1183.2,5440.7,10660.465,14253.574,8990.7,10298.9,7166.7,3.7,5.7,130983.0,144305.0,1.82,1.74,3.07,4.38,5.07,5.48,7.92,177.4,188.4,75.363,87.8518,249879.0,116.45299999999999,1173.3,5390.8,10660.465,14253.574,8987.699999999999,10282.1,7187.3,3.3333333333333335,5.5,131193.0,144210.33333333334,2.1333333333333333,1.9496774193548387,2.867096774193548,4.0848387096774195,4.762096774193548,5.304838709677419,7.920163934426229,177.5,187.96666666666667,75.432,88.04763333333334,255608.33333333334,115.873
88,1193.3,5502.2,10783.5,14372.785,9050.7,10539.0,7243.4,5.5,5.7,130722.0,144481.0,1.73,1.79,3.72,4.91,5.42,5.91,8.23,178.5,189.2,75.763,89.1265,251542.0,118.68799999999999,1191.5333333333333,5484.566666666667,10783.5,14372.785,9032.733333333334,10528.433333333334,7217.733333333334,5.5,5.7,130772.33333333333,144339.0,1.7333333333333334,1.7543333333333335,3.2005,4.4595,5.079166666666667,5.568333333333333,7.955,178.0666666666667,189.0,75.584,88.68256666666666,251474.66666666666,117.892
89,1193.3,5553.5,10887.46,14460.848,9164.8,10648.2,7322.5,6.1,5.8,130673.0,144808.0,1.75,1.7,2.9,4.09,4.86,5.7,7.99,179.6,190.2,76.225,90.6736,253652.0,121.81299999999999,1189.8333333333333,5528.099999999999,10887.46,14460.848,9131.9,10612.966666666667,7307.966666666667,5.866666666666667,5.833333333333333,130640.0,144823.66666666666,1.75,1.74625,3.23390625,4.45046875,5.10609375,5.7440625,8.02578125,179.46666666666667,189.96666666666667,76.145,90.05303333333332,253528.33333333334,120.71699999999998
